MGI:97931	MP:0011804
MGI:2156528	HP:0004510
MGI:1920260	MP:0003051
MGI:1289147	MP:0004025
MGI:106012	MP:0010175
MGI:104680	HP:0002696
MGI:2668347	HP:0030502
MGI:1913544	MP:0006328
MGI:95790	HP:0008197
MGI:2384911	HP:0100759
MGI:97849	HP:0005019
MGI:2687286	MP:0011176
MGI:1913308	HP:0000718
MGI:1309516	HP:0000832
MGI:2136759	HP:0002861
MGI:1917200	MP:0011516
MGI:1915928	HP:0000491
MGI:96031	MP:0011079
MGI:2443805	HP:0001480
MGI:97279	HP:0000480
MGI:107815	HP:0004904
MGI:1914229	HP:0009800
MGI:106198	HP:0002960
MGI:1861735	MP:0002944
MGI:1888519	MP:0000924
MGI:1925064	MP:0003674
MGI:98727	HP:0005830
MGI:1919066	MP:0009063
MGI:2445114	MP:0002080
MGI:105110	HP:0200039
MGI:107164	HP:0009917
MGI:1098597	MP:0011307
MGI:1289257	HP:0001657
MGI:1914639	HP:0001952
MGI:1858493	MP:0000434
MGI:1917004	MP:0006251
MGI:2387600	MP:0005309
MGI:1862037	MP:0001394
MGI:2444911	HP:0012025
MGI:96925	MP:0011731
MGI:1926321	MP:0020225
MGI:1917664	MP:0011317
MGI:103262	MP:0012082
MGI:1345156	HP:0012302
MGI:1341902	MP:0008723
MGI:1917547	MP:0002758
MGI:1096364	HP:0001575
MGI:1343102	HP:0001335
MGI:2388637	MP:0001900
MGI:1098240	MP:0001399
MGI:2179430	MP:0008273
MGI:1918521	HP:0012191
MGI:2158650	HP:0007703
MGI:96938	HP:0030450
MGI:1918976	HP:0002571
MGI:1313302	HP:0100009
MGI:1277947	MP:0002009
MGI:2135954	MP:0002632
MGI:2444391	HP:0001297
MGI:1934919	HP:0100242
MGI:2684957	HP:0002721
MGI:108025	HP:0012324
MGI:2143698	HP:0001730
MGI:1926146	MP:0012262
MGI:1927091	HP:0100962
MGI:3045301	HP:0002356
MGI:1917274	HP:0003220
MGI:1927204	HP:0040144
